model,dims,strategy,time_mean,time_std,mem_gib,timestamp
GST-S,5 \times 92,FD,0.340729,0.004548,0.39,2026-03-15T18:52:38.150318
GST-S,5 \times 92,AD-Dense,0.004163,0.000022,0.05,2026-03-15T18:52:38.150318
GST-S,5 \times 92,AD-Loop,0.006991,0.000120,0.01,2026-03-15T18:52:38.150318
GST-S,5 \times 92,AD-Loop-Ckpt,0.007349,0.000072,0.01,2026-03-15T18:52:38.150318
GST-S,5 \times 92,AD-BTA,0.005800,0.000098,0.00,2026-03-15T18:52:38.150318
GST-C2,12 \times 708,FD,1.641089,0.025935,0.17,2026-03-15T18:52:38.150318
GST-C2,12 \times 708,AD-Dense,0.294002,0.001301,2.86,2026-03-15T18:52:38.150318
GST-C2,12 \times 708,AD-Loop,0.074829,0.000068,0.92,2026-03-15T18:52:38.150318
GST-C2,12 \times 708,AD-Loop-Ckpt,0.084757,0.000086,1.01,2026-03-15T18:52:38.150318
GST-C2,12 \times 708,AD-BTA,0.079392,0.000114,0.18,2026-03-15T18:52:38.150318
GST-C3,8 \times 1062,FD,2.853819,0.011401,0.23,2026-03-15T18:52:38.150318
GST-C3,8 \times 1062,AD-Dense,0.390235,0.000586,3.34,2026-03-15T18:52:38.150318
GST-C3,8 \times 1062,AD-Loop,0.082889,0.000110,1.35,2026-03-15T18:52:38.150318
GST-C3,8 \times 1062,AD-Loop-Ckpt,0.093559,0.000123,1.46,2026-03-15T18:52:38.150318
GST-C3,8 \times 1062,AD-BTA,0.095934,0.000100,0.29,2026-03-15T18:52:38.150318
GST-M,100 \times 812,FD,2.706597,0.004775,2.40,2026-03-15T18:52:38.150318
GST-M,100 \times 812,AD-Dense,OOM,OOM,OOM,2026-03-15T18:52:38.150318
GST-M,100 \times 812,AD-Loop,0.780344,0.000286,8.43,2026-03-15T18:52:38.150318
GST-M,100 \times 812,AD-Loop-Ckpt,0.864905,0.000626,6.43,2026-03-15T18:52:38.150318
GST-M,100 \times 812,AD-BTA,0.700354,0.000539,1.11,2026-03-15T18:52:38.150318
GST-L,250 \times 4002,FD,56.579230,0.044872,76.85,2026-03-15T18:52:38.150318
GST-L,250 \times 4002,AD-Dense,OOM,OOM,OOM,2026-03-15T18:52:38.150318
GST-L,250 \times 4002,AD-Loop,OOM,OOM,OOM,2026-03-15T18:52:38.150318
GST-L,250 \times 4002,AD-Loop-Ckpt,OOM,OOM,OOM,2026-03-15T18:52:38.150318
GST-L,250 \times 4002,AD-BTA,23.827576,0.016677,63.31,2026-03-15T18:52:38.150318
