model,n_nodes,stage,time_mean,time_std,n_runs
WA1,4,chol_fwd_sub,10.2941,0.0924,3
WA1,4,bwd_si,6.4035,0.1401,3
WA1,4,grad_prior,14.7986,0.0980,3
WA1,4,compute_f,0.0307,0.0004,3
WA1,4,grad_quad,1.2269,0.0032,3
WA1,4,grad_scalar,0.0002,0.0000,3
AP1,4,chol_fwd_sub,44.8853,0.2112,3
AP1,4,bwd_si,19.5634,1.0135,3
AP1,4,grad_prior,52.6015,0.0577,3
AP1,4,compute_f,0.0252,0.0002,3
AP1,4,grad_quad,1.0941,0.0009,3
AP1,4,grad_scalar,0.0002,0.0000,3
WA2,4,chol_fwd_sub,51.3489,0.3012,3
WA2,4,bwd_si,21.5291,0.3114,3
WA2,4,grad_prior,65.2692,0.0148,3
WA2,4,compute_f,0.0210,0.0000,3
WA2,4,grad_quad,1.1654,0.0062,3
WA2,4,grad_scalar,0.0001,0.0000,3
