model,n_nodes,method,stage,time_mean,time_std,n_runs,node_joules_mean,gpu_joules_mean,other_joules_mean
WA1,4,two_phase,chol_fwd_sub,31.3659,0.3099,5,66433.8,44574.8,10018.6
WA1,4,two_phase,bwd_si,23.7467,0.0436,5,66433.8,44574.8,10018.6
WA1,4,two_phase,grad_prior,17.8523,0.0087,5,66433.8,44574.8,10018.6
WA1,4,two_phase,compute_f,0.0202,0.0003,5,66433.8,44574.8,10018.6
WA1,4,two_phase,grad_quad,3.0860,0.0044,5,66433.8,44574.8,10018.6
WA1,4,two_phase,grad_scalar,0.0001,0.0000,5,66433.8,44574.8,10018.6
AP1,4,two_phase,chol_fwd_sub,49.2938,0.1483,5,116526.8,78703.0,16165.6
AP1,4,two_phase,bwd_si,26.5284,0.0333,5,116526.8,78703.0,16165.6
AP1,4,two_phase,grad_prior,38.2085,0.0670,5,116526.8,78703.0,16165.6
AP1,4,two_phase,compute_f,0.0209,0.0005,5,116526.8,78703.0,16165.6
AP1,4,two_phase,grad_quad,2.8458,0.0023,5,116526.8,78703.0,16165.6
AP1,4,two_phase,grad_scalar,0.0002,0.0000,5,116526.8,78703.0,16165.6
WA2,4,two_phase,chol_fwd_sub,63.2332,0.1746,5,148467.0,100256.8,19731.6
WA2,4,two_phase,bwd_si,33.0575,0.0085,5,148467.0,100256.8,19731.6
WA2,4,two_phase,grad_prior,48.8311,0.0134,5,148467.0,100256.8,19731.6
WA2,4,two_phase,compute_f,0.0199,0.0006,5,148467.0,100256.8,19731.6
WA2,4,two_phase,grad_quad,3.0230,0.0052,5,148467.0,100256.8,19731.6
WA2,4,two_phase,grad_scalar,0.0002,0.0000,5,148467.0,100256.8,19731.6
