model,method,n_nodes,n_tasks,n_hyperparams,gradient_time_mean,gradient_time_std,timestamp
gst_small,finite_diff,2,2,4,0.141953,0.000480,2026-02-12T11:14:43.223661
gs_small,finite_diff,2,2,3,0.057370,0.000296,2026-02-12T11:14:50.972473
gr,finite_diff,2,2,1,0.021075,0.000496,2026-02-12T11:14:56.229614
pr,finite_diff,2,2,0,0.000000,0.000000,2026-02-12T11:15:01.752517
pst_small,finite_diff,2,2,3,0.198472,0.000519,2026-02-12T11:15:06.760926
gst_medium,finite_diff,2,2,4,1.506179,0.001345,2026-02-12T11:15:14.757070
gs_coreg2_small,finite_diff,2,2,7,0.272138,0.000452,2026-02-12T11:15:39.987657
gs_coreg3_small,finite_diff,2,2,12,0.550934,0.008507,2026-02-12T11:15:48.893828
gst_coreg2_small,finite_diff,2,2,9,0.657236,0.006155,2026-02-12T11:16:00.614997
gst_coreg3_small,finite_diff,2,2,15,1.347091,0.006794,2026-02-12T11:16:14.505215
