model,method,n_nodes,n_tasks,n_hyperparams,gradient_time_mean,gradient_time_std,power_mean_w,power_std_w,energy_mean_j,energy_std_j,node_joules_per_grad,gpu_joules_per_grad,other_joules_per_grad,timestamp
gst_small,jax_autodiff,1,1,4,0.005856,0.000037,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-03-15T16:00:18.244880
gst_coreg2_small,jax_autodiff,1,1,9,0.081794,0.000323,0.00,0.00,0.00,0.00,75.70,44.30,9.80,2026-03-15T16:00:31.124626
gst_medium,jax_autodiff,1,1,4,0.690798,0.000184,0.00,0.00,0.00,0.00,533.60,323.30,94.20,2026-03-15T16:00:36.348149
gst_small,finite_diff,4,4,4,0.115791,0.043698,0.00,0.00,0.00,0.00,82.00,47.60,16.20,2026-03-15T16:01:06.423916
gst_small,finite_diff,2,2,4,0.163767,0.000653,0.00,0.00,0.00,0.00,134.20,75.10,25.40,2026-03-15T16:01:06.425242
gst_small,finite_diff,1,1,4,0.267854,0.000925,0.00,0.00,0.00,0.00,174.60,100.80,38.20,2026-03-15T16:01:06.422490
gst_coreg3_small,jax_autodiff,1,1,15,0.095343,0.000144,0.00,0.00,0.00,0.00,67.90,36.80,14.60,2026-03-15T16:00:53.239779
gst_small,finite_diff,16,16,4,0.055704,0.043781,0.00,0.00,0.00,0.00,31.10,18.00,6.90,2026-03-15T16:01:50.759486
gst_small,finite_diff,8,8,4,0.093946,0.046035,0.00,0.00,0.00,0.00,62.10,37.90,8.00,2026-03-15T16:02:36.493569
gst_coreg2_small,finite_diff,4,4,9,0.405472,0.040586,0.00,0.00,0.00,0.00,286.20,168.50,46.40,2026-03-15T16:02:36.875433
gst_coreg2_small,finite_diff,2,2,9,0.694364,0.002056,0.00,0.00,0.00,0.00,484.80,292.10,60.70,2026-03-15T16:02:37.238674
gst_coreg2_small,finite_diff,1,1,9,1.447660,0.004454,0.00,0.00,0.00,0.00,1003.90,590.10,212.20,2026-03-15T16:02:36.859946
gst_coreg3_small,finite_diff,1,1,15,3.625322,0.036530,0.00,0.00,0.00,0.00,2409.90,1345.30,466.20,2026-03-15T16:02:37.179011
gst_coreg2_small,finite_diff,16,16,9,0.200535,0.129716,0.00,0.00,0.00,0.00,139.70,86.10,18.60,2026-03-15T16:03:20.722334
gst_coreg2_small,finite_diff,8,8,9,0.251955,0.086722,0.00,0.00,0.00,0.00,177.10,109.40,23.80,2026-03-15T16:03:57.970309
gst_coreg3_small,finite_diff,2,2,15,1.477736,0.005798,0.00,0.00,0.00,0.00,1025.60,607.20,217.50,2026-03-15T16:04:08.094185
gst_coreg3_small,finite_diff,16,16,15,0.246439,0.046228,0.00,0.00,0.00,0.00,5.70,3.60,0.70,2026-03-15T16:04:34.803846
gst_coreg3_small,finite_diff,4,4,15,0.792575,0.003810,0.00,0.00,0.00,0.00,589.80,342.30,105.30,2026-03-15T16:04:34.764442
gst_coreg3_small,finite_diff,8,8,15,0.398367,0.043251,0.00,0.00,0.00,0.00,281.30,176.10,36.40,2026-03-15T16:05:12.380079
gst_medium,finite_diff,16,16,4,0.343108,0.043652,0.00,0.00,0.00,0.00,260.00,154.40,43.90,2026-03-15T16:05:17.479786
gst_medium,finite_diff,2,2,4,1.553638,0.031030,0.00,0.00,0.00,0.00,1085.90,677.70,153.20,2026-03-15T16:05:15.555447
gst_medium,finite_diff,1,1,4,2.791438,0.088446,0.00,0.00,0.00,0.00,1990.60,1206.10,407.00,2026-03-15T16:05:15.541336
gst_medium,finite_diff,4,4,4,0.911631,0.043313,0.00,0.00,0.00,0.00,654.80,416.70,83.00,2026-03-15T16:05:53.044526
gst_large,jax_autodiff,1,1,4,23.253122,0.014775,0.00,0.00,0.00,0.00,24686.70,17758.20,2911.90,2026-03-15T16:01:12.799709
gst_medium,finite_diff,8,8,4,0.643864,0.002810,0.00,0.00,0.00,0.00,512.60,309.00,82.00,2026-03-15T16:06:02.426340
gst_large,finite_diff,16,16,4,6.303070,0.009087,0.00,0.00,0.00,0.00,6473.40,4764.30,438.40,2026-03-15T16:06:22.827471
gst_large,finite_diff,8,8,4,12.539591,0.086147,0.00,0.00,0.00,0.00,12581.10,9357.20,1067.60,2026-03-15T16:06:50.786190
wa1,jax_autodiff,4,4,15,33.191510,0.683516,0.00,0.00,0.00,0.00,28585.90,17985.70,4152.10,2026-03-15T16:02:48.373472
gst_large,finite_diff,4,4,4,18.736372,0.001195,0.00,0.00,0.00,0.00,19375.20,13492.80,3293.60,2026-03-15T16:06:30.417988
sa1,finite_diff,16,16,15,16.978152,0.174713,0.00,0.00,0.00,0.00,18459.40,13024.30,2207.90,2026-03-15T16:07:20.683524
gst_large,finite_diff,2,2,4,31.311214,0.036574,0.00,0.00,0.00,0.00,34046.50,23462.60,5401.20,2026-03-15T16:06:26.117987
sa1,jax_autodiff,1,1,15,32.180540,0.018375,0.00,0.00,0.00,0.00,37605.30,25856.50,5320.60,2026-03-15T16:04:14.591433
sa1,finite_diff,32,32,15,8.794925,0.290926,0.00,0.00,0.00,0.00,9461.50,6722.10,1448.70,2026-03-15T16:11:22.349729
ap1,finite_diff,64,64,15,31.903046,0.239056,0.00,0.00,0.00,0.00,28957.40,19518.00,5228.10,2026-03-15T16:11:27.138001
gst_large,finite_diff,1,1,4,56.230722,0.006191,0.00,0.00,0.00,0.00,61897.80,40585.40,12559.80,2026-03-15T16:06:22.587571
sa1,finite_diff,4,4,15,65.509799,0.009890,0.00,0.00,0.00,0.00,70520.80,49977.60,9953.20,2026-03-15T23:45:00
ap1,finite_diff,32,32,15,62.317987,0.188259,0.00,0.00,0.00,0.00,58777.40,38386.40,8842.70,2026-03-15T16:11:21.209962
wa1,finite_diff,32,32,15,28.299573,0.162855,0.00,0.00,0.00,0.00,24547.20,16213.80,4220.80,2026-03-15T16:14:53.134630
ap1,jax_autodiff,4,4,15,112.905579,1.723915,0.00,0.00,0.00,0.00,92263.30,59983.50,13426.80,2026-03-15T16:03:40.540105
wa1,finite_diff,64,64,15,14.289948,0.268909,0.00,0.00,0.00,0.00,12255.30,8006.40,2384.50,2026-03-15T16:18:38.475580
wa1,finite_diff,16,16,15,54.692777,0.201897,0.00,0.00,0.00,0.00,47561.10,30714.60,6602.40,2026-03-15T16:12:26.999413
sa1,finite_diff,2,2,15,129.909733,0.116784,0.00,0.00,0.00,0.00,138908.90,103390.10,14694.70,2026-03-15T16:07:58.261010
wa2,jax_autodiff,4,4,15,138.874409,0.931905,0.00,0.00,0.00,0.00,112976.20,68267.00,17795.00,2026-03-15T16:05:36.421009
ap1,finite_diff,16,16,15,125.305244,0.263591,0.00,0.00,0.00,0.00,113527.80,76974.80,17049.00,2026-03-15T16:11:21.189745
wa2,finite_diff,32,32,15,85.797896,0.163074,0.00,0.00,0.00,0.00,74921.90,49630.00,-42998.50,2026-03-15T16:28:05.572658
wa1,finite_diff,8,8,15,107.165441,0.444305,0.00,0.00,0.00,0.00,92116.40,60238.80,14445.90,2026-03-15T16:18:20.116449
