model,d,nodes,jit_type,n_iters_fd,n_iters_ad,t_per_grad_fd,t_per_grad_ad,t_jit_ad,t_hessian_fd,t_hessian_ad,t_optim_fd,t_optim_ad,t_total_fd,t_total_ad,ci95_total_ad,ci95_total_fd,speedup_optim,speedup_hessian,speedup_total
GST-S,4,1,monolithic,22,22,0.371802,0.007307,0.000000,1.3633,0.0585,8.1796,0.1608,9.5429,0.2192,0.0252,0.0393,50.9,23.3,43.5
GST-M,4,1,monolithic,33,33,2.710213,0.690828,0.000000,9.9374,5.5266,89.4370,22.7973,99.3745,28.3239,0.0066,1.1344,3.9,1.8,3.5
GST-L,4,1,monolithic,40,40,56.308629,23.410407,0.000000,206.4650,187.2833,2252.3452,936.4163,2458.8101,1123.6995,0.4254,0.2151,2.4,1.1,2.2
GST-C2,9,1,monolithic,32,32,1.274556,0.080134,0.000000,10.9343,1.4424,40.7858,2.5643,51.7201,4.0067,0.0029,0.0957,15.9,7.6,12.9
GST-C3,15,1,monolithic,94,106,2.941873,0.096791,0.000000,42.7995,2.9037,311.8385,10.2598,354.6380,13.1636,0.0042,0.7902,30.4,14.7,26.9
SA1,15,1,monolithic,193,193,253.321300,32.108000,0.000000,3685.4163,963.2400,48891.0109,6196.8440,52576.4272,7160.0840,0.6192,5.2284,7.9,3.8,7.3
WA1,15,4,two-phase,40,40,205.314600,31.911800,0.000000,2986.9963,957.3540,8212.5840,1276.4720,11199.5803,2233.8260,0.6982,10.2308,6.4,3.1,5.0
AP1,15,4,two-phase,20,20,479.375900,114.966100,0.000000,6974.1462,3448.9830,9587.5180,2299.3220,16561.6642,5748.3050,2.6280,3.5297,4.2,2.0,2.9
GST-T,4,1,monolithic,18,18,47.505820,17.121669,28.656600,174.0858,137.1669,855.1048,308.1900,1029.1906,445.3569,0.3441,2.1594,2.8,1.3,2.3
WA2,15,4,two-phase,40,40,631.856900,138.375700,0.000000,9192.4988,4151.2710,25274.2760,5535.0280,34466.7748,9686.2990,5.7523,2.5229,4.6,2.2,3.6
