model,display_name,latent_dim,n_hyperparams,n_fd_evals,solver,ad_min_nodes,method,n_nodes,gradient_time_mean_s,gradient_time_std_s,n_runs,energy_per_node_J,energy_gpu_per_node_J,energy_other_per_node_J,energy_total_J
gst_small,GST-S,466,4,9,BTA,1,AD,1,0.005856,0.000037,10,0.0,0.0,0.0,0.0
gst_small,GST-S,466,4,9,BTA,1,FD,1,0.267854,0.000925,10,174.6,100.8,38.2,174.6
gst_small,GST-S,466,4,9,BTA,1,FD,2,0.163767,0.000653,10,134.2,75.1,25.4,268.4
gst_small,GST-S,466,4,9,BTA,1,FD,4,0.115791,0.043698,10,82.0,47.6,16.2,328.0
gst_small,GST-S,466,4,9,BTA,1,FD,8,0.093946,0.046035,10,62.1,37.9,8.0,496.8
gst_small,GST-S,466,4,9,BTA,1,FD,16,0.055704,0.043781,10,31.1,18.0,6.9,497.6
gst_medium,GST-M,81206,4,9,BTA,1,AD,1,0.690798,0.000184,10,533.6,323.3,94.2,533.6
gst_medium,GST-M,81206,4,9,BTA,1,FD,1,2.791438,0.088446,10,1990.6,1206.1,407.0,1990.6
gst_medium,GST-M,81206,4,9,BTA,1,FD,2,1.553638,0.031030,10,1085.9,677.7,153.2,2171.8
gst_medium,GST-M,81206,4,9,BTA,1,FD,4,0.911631,0.043313,10,654.8,416.7,83.0,2619.2
gst_medium,GST-M,81206,4,9,BTA,1,FD,8,0.643864,0.002810,10,512.6,309.0,82.0,4100.8
gst_medium,GST-M,81206,4,9,BTA,1,FD,16,0.343108,0.043652,10,260.0,154.4,43.9,4160.0
gst_large,GST-L,1000506,4,9,BTA,1,AD,1,23.253122,0.014775,10,24686.7,17758.2,2911.9,24686.7
gst_large,GST-L,1000506,4,9,BTA,1,FD,1,56.230722,0.006191,10,61897.8,40585.4,12559.8,61897.8
gst_large,GST-L,1000506,4,9,BTA,1,FD,2,31.311214,0.036574,10,34046.5,23462.6,5401.2,68093.0
gst_large,GST-L,1000506,4,9,BTA,1,FD,4,18.736372,0.001195,10,19375.2,13492.8,3293.6,77500.8
gst_large,GST-L,1000506,4,9,BTA,1,FD,8,12.539591,0.086147,10,12581.1,9357.2,1067.6,100648.8
gst_large,GST-L,1000506,4,9,BTA,1,FD,16,6.303070,0.009087,10,6473.4,4764.3,438.4,103574.4
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,AD,1,0.081794,0.000323,10,75.7,44.3,9.8,75.7
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,1,1.447660,0.004454,10,1003.9,590.1,212.2,1003.9
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,2,0.694364,0.002056,10,484.8,292.1,60.7,969.6
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,4,0.405472,0.040586,10,286.2,168.5,46.4,1144.8
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,8,0.251955,0.086722,10,177.1,109.4,23.8,1416.8
gst_coreg2_small,GST-C2,8498,9,19,BTA,1,FD,16,0.200535,0.129716,10,139.7,86.1,18.6,2235.2
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,AD,1,0.095343,0.000144,10,67.9,36.8,14.6,67.9
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,1,3.625322,0.036530,10,2409.9,1345.3,466.2,2409.9
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,2,1.477736,0.005798,10,1025.6,607.2,217.5,2051.2
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,4,0.792575,0.003810,10,589.8,342.3,105.3,2359.2
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,8,0.398367,0.043251,10,281.3,176.1,36.4,2250.4
gst_coreg3_small,GST-C3,8499,15,31,BTA,1,FD,16,0.246439,0.046228,10,5.7,3.6,0.7,91.2
sa1,SA1,964803,15,31,BTA,1,AD,1,32.180540,0.018375,10,37605.3,25856.5,5320.6,37605.3
