model,method,delta,seed,converged,n_iterations,final_f,theta_error_norm,time_s
gst_medium,AD,0.3,0,1,6,32134.624053778127,0.05564894713812148,67.83
gst_medium,AD,0.3,1,1,2,32204.76984503679,0.20241183016630387,38.87
gst_medium,AD,0.3,2,1,2,32180.965986838564,0.10749470200599436,39.62
gst_medium,AD,0.3,3,1,4,32112.682327724993,0.13613911966287454,43.18
gst_medium,AD,0.3,4,1,6,32153.840524239466,0.032707230612262106,58.34
gst_medium,AD,0.5,0,1,6,32234.659361755475,0.09865445120394709,54.97
gst_medium,AD,0.5,1,1,3,32259.618629757315,0.3075829909098144,41.92
gst_medium,AD,0.5,2,1,4,32186.029693139717,0.1401049058565218,60.75
gst_medium,AD,0.5,3,1,8,32175.71581611596,0.2305268687683957,65.63
gst_medium,AD,0.5,4,1,4,32181.936892483383,0.06691865971481199,41.85
gst_medium,AD,1.0,0,1,5,33113.857423216105,0.32411239109866813,42.61
gst_medium,AD,1.0,1,1,3,32410.641681171954,0.6109406354290603,39.9
gst_medium,AD,1.0,2,1,3,32219.31495687738,0.23047758704430285,40.32
gst_medium,AD,1.0,3,1,12,32442.451961835846,0.5155651984617431,49.03
gst_medium,AD,1.0,4,1,7,32332.329627374187,0.08962798756456494,46.65
gst_medium,AD,2.0,0,1,17,32990.24053328298,0.3499670620961641,66.24
gst_medium,AD,2.0,1,1,3,32791.80983109027,1.1922481707445403,38.82
gst_medium,AD,2.0,2,1,7,32342.021548312157,0.42191871647984797,58.4
gst_medium,AD,2.0,3,1,20,32269.517082300037,0.9305581103615522,64.74
gst_medium,AD,2.0,4,1,14,32500.04924276471,0.17481434447105876,71.1
gst_medium,AD,3.0,0,1,19,32779.46075487137,0.28031792446750947,79.41
gst_medium,AD,3.0,1,1,5,33495.63400124572,1.7921194934600828,51.47
gst_medium,AD,3.0,2,1,6,32191.843662749976,0.5729688649516705,59.2
gst_medium,AD,3.0,3,1,23,32463.26951094158,1.3303517177913136,73.37
gst_medium,AD,3.0,4,1,6,32179.60196950473,0.08147044020787049,47.54
gst_medium,AD,5.0,0,1,23,32241.14192399755,0.5936784433571253,64.58
gst_medium,AD,5.0,1,1,4,36960.45073787309,2.998048499376391,41.77
gst_medium,AD,5.0,2,1,7,32300.481648102403,0.9272194708759011,36.15
gst_medium,AD,5.0,3,1,40,32218.88164192997,0.7389431211805556,82.7
gst_medium,AD,5.0,4,0,32,nan,8.732754226612139,112.15
gst_medium,AD,7.0,0,1,20,32209.301983244717,1.117245298992292,57.29
gst_medium,AD,7.0,1,1,2,56503.607560079545,4.254150843570726,39.77
gst_medium,AD,7.0,2,1,13,32142.72959974222,0.6156873302897123,68.42
gst_medium,AD,7.0,3,1,11,291846.5215930783,7.957126361393751,29.74
gst_medium,AD,7.0,4,1,2,257934.80409994314,6.467318427776133,43.13
gst_medium,AD,10.0,0,1,32,32383.419533764943,1.3142670784830126,87.72
gst_medium,AD,10.0,1,1,5,278859.2333211934,7.856928523978507,57.1
gst_medium,AD,10.0,2,1,11,32120.914474867284,0.5261946627064208,52.47
gst_medium,AD,10.0,3,1,8,300068.3572009118,10.626926014484015,50.31
gst_medium,AD,10.0,4,1,4,384105.1331548824,9.619676829649,42.74
gst_medium,FD,0.3,0,1,18,32101.071205452085,0.3183312854599277,66.4
gst_medium,FD,0.3,1,1,22,32101.071205299348,0.3184627449896359,73.31
gst_medium,FD,0.3,2,1,24,32101.07121518813,0.31868140735470063,82.77
gst_medium,FD,0.3,3,1,17,32101.0712171793,0.3184202692328915,70.58
gst_medium,FD,0.3,4,1,24,32101.07120404765,0.3183759477302304,91.13
gst_medium,FD,0.5,0,1,20,32101.07120442204,0.3184120499345925,74.48
gst_medium,FD,0.5,1,1,19,32101.071204517037,0.31843177284516483,68.39
gst_medium,FD,0.5,2,1,22,32101.07122336887,0.31870549547090343,77.65
gst_medium,FD,0.5,3,1,18,32101.071244448423,0.3181228526893255,65.1
gst_medium,FD,0.5,4,1,24,32101.07120449096,0.31843202868219755,99.24
gst_medium,FD,1.0,0,1,19,32101.071236358956,0.3180159185720068,83.51
gst_medium,FD,1.0,1,1,19,32101.071239737794,0.31870071085334856,66.74
gst_medium,FD,1.0,2,1,21,32101.071248210967,0.31896094320974977,63.24
gst_medium,FD,1.0,3,1,23,32101.07120444253,0.3184259668149986,82.27
gst_medium,FD,1.0,4,1,25,32101.071209389716,0.3184114111350692,82.62
gst_medium,FD,2.0,0,1,27,32101.071204487234,0.3184320301660782,115.29
gst_medium,FD,2.0,1,1,19,32101.071212951094,0.31823169856971545,76.29
gst_medium,FD,2.0,2,1,19,32101.071206714958,0.31824162242525966,66.31
gst_medium,FD,2.0,3,1,32,32101.07120454684,0.3184361742250588,108.18
gst_medium,FD,2.0,4,1,28,32101.072356591,0.32079244701443405,90.33
gst_medium,FD,3.0,0,1,29,32101.07144191675,0.3182828193389589,108.5
gst_medium,FD,3.0,1,1,26,32101.071204502136,0.31839333457110114,88.17
gst_medium,FD,3.0,2,1,18,32101.071211971343,0.31862607590862696,75.91
gst_medium,FD,3.0,3,1,29,32101.07121407427,0.3182689045687064,123.42
gst_medium,FD,3.0,4,1,24,32101.07125095837,0.31864144392874827,95.57
gst_medium,FD,5.0,0,1,36,32101.071206677705,0.31850860277074156,131.41
gst_medium,FD,5.0,1,1,31,32101.07120444253,0.31842650480371854,133.75
gst_medium,FD,5.0,2,1,23,32101.07120451145,0.31843246711471035,83.68
gst_medium,FD,5.0,3,1,41,32101.07120437175,0.31840370965163084,187.63
gst_medium,FD,5.0,4,1,29,32101.07120409794,0.31835762119455635,126.43
gst_medium,FD,7.0,0,1,33,32101.071204494685,0.31843160497842976,124.12
gst_medium,FD,7.0,1,1,33,32101.07120438479,0.3184191443590998,138.39
gst_medium,FD,7.0,2,1,21,32101.07141629234,0.31704099412053943,73.91
gst_medium,FD,7.0,3,1,7,291860.8445523601,7.947618327636566,45.52
gst_medium,FD,7.0,4,1,40,32101.07124824822,0.31821094678613376,166.25
gst_medium,FD,10.0,0,1,34,32101.071237444878,0.31875559430048844,129.5
gst_medium,FD,10.0,1,0,0,nan,nan,10.05
gst_medium,FD,10.0,2,1,25,32101.0712271668,0.31807174805088545,90.68
gst_medium,FD,10.0,3,0,0,nan,nan,152.03
gst_medium,FD,10.0,4,1,44,32101.071369040757,0.31740482695062816,168.03
gst_coreg2_small,AD,0.3,0,1,22,-28083.2050678432,3.2500665341046235,18.85
gst_coreg2_small,AD,0.3,1,1,28,-28083.222396314144,3.2524307433239628,19.29
gst_coreg2_small,AD,0.3,2,1,29,-28083.222348600626,3.2524314865559916,19.29
gst_coreg2_small,AD,0.3,3,1,35,-28083.22222059965,3.2524262992649082,19.95
gst_coreg2_small,AD,0.3,4,1,20,-28083.219612538815,3.251428461251319,18.8
gst_coreg2_small,AD,0.5,0,1,21,-28083.22240254283,3.2524629781125527,18.77
gst_coreg2_small,AD,0.5,1,1,35,-28083.221823513508,3.25232684563091,19.94
gst_coreg2_small,AD,0.5,2,1,32,-28083.222066879272,3.2521174635133008,19.69
