model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg3_small,AD,3.0,0,1,1,99,-69869.17835474014,0.29962502336076735,40.03
gst_coreg3_small,AD,3.0,1,1,1,131,-69869.17642116547,0.2958468176681478,43.86
gst_coreg3_small,AD,3.0,2,1,1,89,-69869.08193349838,0.282145230820463,39.69
gst_coreg3_small,AD,3.0,3,1,1,41,-69864.48043680191,2.021373416168112,34.48
gst_coreg3_small,AD,3.0,4,1,1,76,-69869.17776298523,0.3080054220680232,37.27
gst_coreg3_small,AD,3.0,5,1,1,57,-69865.2414278984,1.5548089670761966,34.18
gst_coreg3_small,AD,3.0,6,1,1,149,-69869.1599020958,0.33163801576807106,44.3
gst_coreg3_small,AD,3.0,7,1,1,56,-69869.14022445679,0.35254367819219296,34.27
gst_coreg3_small,AD,3.0,8,1,1,117,-69869.1768989563,0.29406445272319337,45.7
gst_coreg3_small,AD,3.0,9,1,1,55,-69869.0159292221,0.24792778202718072,38.23
gst_coreg3_small,AD,3.0,10,1,1,102,-69869.17747354507,0.3015164757985127,42.26
gst_coreg3_small,AD,3.0,11,1,1,68,-69869.12075567245,0.37750918474120065,38.45
gst_coreg3_small,AD,3.0,12,1,1,85,-69869.17286014557,0.2969051767109764,39.46
gst_coreg3_small,AD,3.0,13,1,1,164,-69869.17868089676,0.2983912240788691,46.58
gst_coreg3_small,AD,3.0,14,1,1,106,-69869.16616344452,0.287617941342793,41.9
gst_coreg3_small,AD,3.0,15,1,1,87,-69865.95900678635,1.301088561137227,40.34
gst_coreg3_small,AD,3.0,16,1,1,72,-69869.16574335098,0.3149264585717609,38.96
gst_coreg3_small,AD,3.0,17,1,1,65,-69869.16292476654,0.3212031965685754,38.28
gst_coreg3_small,AD,3.0,18,1,1,117,-69869.17868232727,0.2987248820360065,43.63
gst_coreg3_small,AD,3.0,19,1,1,103,-69869.15804433823,0.3103216801949491,42.09
gst_coreg3_small,AD,3.0,20,1,1,86,-69869.13766622543,0.30672928622679435,40.46
gst_coreg3_small,AD,3.0,21,1,1,101,-69869.14085388184,0.3052304683748793,41.98
gst_coreg3_small,AD,3.0,22,1,1,129,-69869.17160081863,0.31052772652768285,45.4
gst_coreg3_small,AD,3.0,23,1,1,77,-69869.16356801987,0.30064253442306216,40.17
gst_coreg3_small,AD,3.0,24,1,1,86,-69869.13605546951,0.2936342192774736,40.24
gst_coreg3_small,AD,3.0,25,1,1,89,-69869.17791414261,0.2905770190902052,41.74
gst_coreg3_small,AD,3.0,26,1,1,142,-69869.17894268036,0.29965337505418105,46.49
gst_coreg3_small,AD,3.0,27,1,1,110,-69869.1785697937,0.3004011564375133,42.94
gst_coreg3_small,AD,3.0,28,1,1,80,-69869.1685385704,0.3036595553533467,40.21
gst_coreg3_small,AD,3.0,29,1,1,88,-69869.17900896072,0.29960266409564085,40.37
gst_coreg3_small,AD,3.0,30,1,1,94,-69869.17724275589,0.298400725412516,41.76
gst_coreg3_small,AD,3.0,31,1,1,97,-69869.16408252716,0.3292414392346877,41.96
gst_coreg3_small,AD,3.0,32,1,1,78,-69869.05277442932,0.414788215541609,39.66
gst_coreg3_small,AD,3.0,33,1,1,124,-69869.1746969223,0.3131936449597922,45.13
gst_coreg3_small,AD,3.0,34,1,1,117,-69869.17852783203,0.29920203527482,43.75
gst_coreg3_small,AD,3.0,35,1,1,99,-69869.17710781097,0.3141275451882387,42.21
gst_coreg3_small,AD,3.0,36,1,1,96,-69869.1120185852,0.3392567119915176,41.69
gst_coreg3_small,AD,3.0,37,1,1,90,-69869.17815923691,0.30414342745288775,40.75
gst_coreg3_small,AD,3.0,38,1,1,76,-69869.15781545639,0.29061023250851953,39.14
gst_coreg3_small,AD,3.0,39,1,1,91,-69869.178150177,0.3067471002533831,41.12
gst_coreg3_small,AD,3.0,40,1,1,72,-69869.17938518524,0.29966748426469625,38.37
gst_coreg3_small,AD,3.0,41,1,1,85,-69869.17884731293,0.29567106723787434,39.72
gst_coreg3_small,AD,3.0,42,1,1,121,-69869.17868280411,0.2982234535882775,44.22
gst_coreg3_small,AD,3.0,43,1,1,90,-69869.16674280167,0.33303720122775055,40.31
gst_coreg3_small,AD,3.0,44,1,1,87,-69869.17855405807,0.29458347279633745,187.93
gst_coreg3_small,AD,3.0,45,1,1,123,-69869.17857837677,0.2961443315660751,44.02
gst_coreg3_small,AD,3.0,46,1,1,79,-69869.1607222557,0.2797416421574048,39.99
gst_coreg3_small,AD,3.0,47,1,1,73,-69869.17466640472,0.29689471841244774,39.76
gst_coreg3_small,AD,3.0,48,1,1,106,-69869.13090229034,0.28549109656379557,43.29
gst_coreg3_small,AD,3.0,49,1,1,87,-69869.17467546463,0.30840241254588824,41.19
