model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
gst_coreg2_small,AD,0.5,0,1,1,21,-28083.222401857376,3.252462982004422,13.03
gst_coreg2_small,AD,0.5,1,1,1,35,-28083.221822947264,3.252326841538548,16.67
gst_coreg2_small,AD,0.5,2,1,1,32,-28083.22206673026,3.252117464018851,16.07
gst_coreg2_small,AD,0.5,3,1,1,25,-28083.17447924614,3.2491151029202263,15.43
gst_coreg2_small,AD,0.5,4,1,1,22,-28083.20071414113,3.2560073180985,14.59
gst_coreg2_small,AD,0.5,5,1,1,30,-28083.222388207912,3.252364095697196,15.16
gst_coreg2_small,AD,0.5,6,1,1,37,-28083.22222879529,3.2525193400203767,15.73
gst_coreg2_small,AD,0.5,7,1,1,23,-28083.21692404151,3.254129483157931,14.42
gst_coreg2_small,AD,0.5,8,1,1,31,-28083.22240418196,3.252430129135701,15.16
gst_coreg2_small,AD,0.5,9,1,1,31,-28083.22238174081,3.2524153650694463,15.1
gst_coreg2_small,AD,0.5,10,1,1,29,-28083.22239363193,3.252430935295088,15.07
gst_coreg2_small,AD,0.5,11,1,1,28,-28083.222344219685,3.2523863514536413,15.13
gst_coreg2_small,AD,0.5,12,1,1,32,-28083.22236186266,3.252422766522171,15.49
gst_coreg2_small,AD,0.5,13,1,1,29,-28083.222134500746,3.252255704608893,15.33
gst_coreg2_small,AD,0.5,14,1,1,20,-28083.21287569404,3.2505168310060006,14.41
gst_coreg2_small,AD,0.5,15,1,1,35,-28083.222296833992,3.252465016322941,15.83
gst_coreg2_small,AD,0.5,16,1,1,29,-28083.22207278013,3.252568300503273,15.35
gst_coreg2_small,AD,0.5,17,1,1,34,-28083.222402393814,3.2524035688873227,16.0
gst_coreg2_small,AD,0.5,18,1,1,28,-28083.22233057022,3.25241610430602,15.53
gst_coreg2_small,AD,0.5,19,1,1,32,-28083.22234109044,3.2524476572910346,15.99
gst_coreg2_small,AD,0.5,20,1,1,34,-28083.22143316269,3.252171832845676,15.46
gst_coreg2_small,AD,0.5,21,1,1,28,-28083.22183507681,3.252274658917464,14.86
gst_coreg2_small,AD,0.5,22,1,1,35,-28083.22092065215,3.252577562955969,15.45
gst_coreg2_small,AD,0.5,23,1,1,28,-28083.22236317396,3.2524354180203274,15.02
gst_coreg2_small,AD,0.5,24,1,1,34,-28083.22239768505,3.2524197164453548,15.54
gst_coreg2_small,AD,0.5,25,1,1,27,-28083.22233480215,3.2523644432355088,15.31
gst_coreg2_small,AD,0.5,26,1,1,32,-28083.22232928872,3.2523649679153315,15.75
gst_coreg2_small,AD,0.5,27,1,1,30,-28083.222193300724,3.252415311903372,15.12
gst_coreg2_small,AD,0.5,28,1,1,31,-28083.22240492701,3.2524179634870216,15.48
gst_coreg2_small,AD,0.5,29,1,1,24,-28083.22207218409,3.252339162451431,14.91
gst_coreg2_small,AD,0.5,30,1,1,32,-28083.22239008546,3.252482199866709,15.38
gst_coreg2_small,AD,0.5,31,1,1,32,-28083.222310334444,3.25234598624794,15.55
gst_coreg2_small,AD,0.5,32,1,1,22,-28083.1896609664,3.249392799954298,14.71
gst_coreg2_small,AD,0.5,33,1,1,37,-28083.22238996625,3.252452476374469,16.07
gst_coreg2_small,AD,0.5,34,1,1,28,-28083.222261041403,3.2523920005104223,15.28
gst_coreg2_small,AD,0.5,35,1,1,33,-28083.222306013107,3.252332870411053,15.87
gst_coreg2_small,AD,0.5,36,1,1,29,-28083.22180879116,3.252469330850293,15.24
gst_coreg2_small,AD,0.5,37,1,1,39,-28083.22238522768,3.252395037649372,16.47
gst_coreg2_small,AD,0.5,38,1,1,41,-28083.22234070301,3.252286501448601,16.46
gst_coreg2_small,AD,0.5,39,1,1,34,-28083.22200202942,3.2524537778289826,15.75
gst_coreg2_small,AD,0.5,40,1,1,19,-28083.220576673742,3.253344703713068,14.52
gst_coreg2_small,AD,0.5,41,1,1,22,-28083.22233602405,3.252246545653025,14.9
gst_coreg2_small,AD,0.5,42,1,1,29,-28083.222391992807,3.2524512163032284,15.36
gst_coreg2_small,AD,0.5,43,1,1,30,-28083.221627116203,3.2525645893109774,15.39
gst_coreg2_small,AD,0.5,44,1,1,40,-28083.222401469942,3.252381665573867,16.36
gst_coreg2_small,AD,0.5,45,1,1,33,-28083.22237840295,3.2524182320994948,15.64
gst_coreg2_small,AD,0.5,46,1,1,21,-28083.221388220787,3.2531356031868244,14.53
gst_coreg2_small,AD,0.5,47,1,1,15,-28083.19929754734,3.256226935607368,14.19
gst_coreg2_small,AD,0.5,48,1,1,26,-28083.22208711505,3.2523926397314344,15.36
gst_coreg2_small,AD,0.5,49,1,1,29,-28083.22202178836,3.252299029449717,15.42
gst_coreg2_small,AD,1.0,0,1,1,33,-28083.22145602107,3.252690735056621,14.38
gst_coreg2_small,AD,1.0,1,1,1,30,-28083.22224238515,3.2523352898599134,13.98
gst_coreg2_small,AD,1.0,2,1,1,27,-28083.222338676453,3.2523966311060883,15.64
gst_coreg2_small,AD,1.0,3,1,1,22,-28083.214860469103,3.250776311892662,14.8
gst_coreg2_small,AD,1.0,4,1,1,37,-28083.22238495946,3.2524332673615395,15.72
gst_coreg2_small,AD,1.0,5,1,1,33,-28083.222338169813,3.252328189729317,15.47
gst_coreg2_small,AD,1.0,6,1,1,31,-28083.222399950027,3.2524055083972736,14.4
gst_coreg2_small,AD,1.0,7,1,1,33,-28083.222403019667,3.252442148955833,15.95
gst_coreg2_small,AD,1.0,8,1,1,37,-28083.22239664197,3.2524386071477505,16.77
gst_coreg2_small,AD,1.0,9,1,1,30,-28083.222406089302,3.2524309523850574,15.56
gst_coreg2_small,AD,1.0,10,1,1,21,-28083.222312390804,3.2526411031349274,14.78
gst_coreg2_small,AD,1.0,11,1,1,22,-28083.222310602665,3.252204451178076,14.93
gst_coreg2_small,AD,1.0,12,1,1,33,-28083.22240191698,3.252443560791728,15.7
gst_coreg2_small,AD,1.0,13,1,1,34,-28083.22221466899,3.252566169495993,15.49
gst_coreg2_small,AD,1.0,14,1,1,22,-28083.207457631823,3.2554027514358608,14.54
gst_coreg2_small,AD,1.0,15,1,1,37,-28083.222331106663,3.252408896050808,15.39
gst_coreg2_small,AD,1.0,16,1,1,35,-28083.22236818075,3.252500511636094,15.3
gst_coreg2_small,AD,1.0,17,1,1,40,-28083.221957951784,3.252553068115031,16.85
gst_coreg2_small,AD,1.0,18,1,1,34,-28083.22199574113,3.2523435390862185,15.68
gst_coreg2_small,AD,1.0,19,1,1,35,-28083.222401052717,3.252443425553727,16.12
gst_coreg2_small,AD,1.0,20,1,1,35,-28083.222279310223,3.252344460486655,16.0
gst_coreg2_small,AD,1.0,21,1,1,34,-28083.222198814157,3.2523892487050343,15.64
gst_coreg2_small,AD,1.0,22,1,1,32,-28083.222392857075,3.252446408834119,15.34
gst_coreg2_small,AD,1.0,23,1,1,34,-28083.22237738967,3.25239207424415,15.46
gst_coreg2_small,AD,1.0,24,1,1,34,-28083.222391545773,3.2524257854622216,15.65
gst_coreg2_small,AD,1.0,25,1,1,27,-28083.22234749794,3.252446526194895,15.21
gst_coreg2_small,AD,1.0,26,1,1,35,-28083.22233825922,3.2524147061741617,15.74
gst_coreg2_small,AD,1.0,27,1,1,33,-28083.22233748436,3.252470271206544,15.41
