model,method,delta,seed,converged,converged_strict,n_iterations,final_f,theta_error_norm,time_s
wa2_small,AD,0.5,0,1,1,34,-94561.21414136887,0.42891696636800575,38.47
wa2_small,AD,0.5,1,1,1,28,-94561.22951030731,0.441043123428265,40.51
wa2_small,AD,0.5,2,1,1,36,-94561.2023487091,0.47246551276246673,43.64
wa2_small,AD,0.5,3,1,1,40,-94561.23052740097,0.42694917886660866,44.17
wa2_small,AD,0.5,4,1,1,43,-94561.22100925446,0.4239637617677897,45.1
wa2_small,AD,0.5,5,1,1,46,-94561.2172908783,0.42216693790337406,45.55
wa2_small,AD,0.5,6,1,1,33,-94561.2346110344,0.4351511845269262,45.53
wa2_small,AD,0.5,7,1,1,34,-94561.22778320312,0.4504313123241414,42.84
wa2_small,AD,0.5,8,1,1,37,-94561.23428678513,0.43396942266968336,43.87
wa2_small,AD,0.5,9,1,1,46,-94561.23438167572,0.43487753492487996,46.24
wa2_small,AD,0.5,10,1,1,41,-94561.23398685455,0.4361275306070755,43.68
wa2_small,AD,0.5,11,1,1,27,-94561.22291231155,0.4563271833812503,40.33
wa2_small,AD,0.5,12,1,1,33,-94561.23109960556,0.431240739310324,41.56
wa2_small,AD,0.5,13,1,1,34,-94561.22181892395,0.4229157624396059,41.95
wa2_small,AD,0.5,14,1,1,36,-94561.17393255234,0.49141739594337064,42.27
wa2_small,AD,0.5,15,1,1,34,-94561.23349666595,0.4307552480274141,41.99
wa2_small,AD,0.5,16,1,1,47,-94561.23425102234,0.43784598399212776,44.59
wa2_small,AD,0.5,17,1,1,34,-94561.22165155411,0.42597912045493974,43.32
wa2_small,AD,0.5,18,1,1,33,-94561.21881771088,0.42214310274638794,42.43
wa2_small,AD,0.5,19,1,1,43,-94561.23467445374,0.4340769846487605,43.55
wa2_small,AD,1.0,0,1,1,41,-94561.20955610275,0.4317566802683562,45.86
wa2_small,AD,1.0,1,1,1,51,-94561.23454284668,0.434137532011097,46.3
wa2_small,AD,1.0,2,1,1,50,-94561.23404693604,0.43625074461167257,47.34
wa2_small,AD,1.0,3,1,1,46,-94561.23443174362,0.4334089235737002,44.28
wa2_small,AD,1.0,4,1,1,40,-94561.23141384125,0.4358612579693583,43.24
wa2_small,AD,1.0,5,1,1,46,-94561.22361135483,0.423181677539402,43.93
