model,method,time_mean,time_std,peak_memory_bytes,n_runs,status,n_hyperparameters,jit_time,grad_rel_error
gst_large,AD-BTA,23.17597175791161,0.009824962512720511,67983376384,10,ok,4,43.97001058101887,4.691410034164792e-07
gst_large,AD-Loop,-1,-1,-1,0,OOM,4,-1,-1
gst_large,AD-Loop-Ckpt,-1,-1,-1,0,OOM,4,-1,-1
gst_large,FD,50.198681293899426,0.024084485592647857,0,10,ok,4,-1,-1
gst_large,AD-Dense,-1,-1,-1,0,OOM,4,-1,-1
gst_medium,AD-BTA,0.7051467598997988,0.0003752932856078583,1195376640,10,ok,4,11.479575641977135,3.5861009938833437e-07
gst_medium,AD-Loop,0.786696060502436,0.0004014253981899213,9049210880,10,ok,4,22.491094405995682,3.586387335956922e-07
gst_medium,AD-Loop-Ckpt,0.8705177450960037,0.0009795790486770946,6901727232,10,ok,4,22.165334557008464,3.586442564171641e-07
gst_medium,FD,2.4739499624993186,0.005209033799630098,0,10,ok,4,-1,-1
gst_medium,AD-Dense,-1,-1,-1,0,OOM,4,-1,-1
gst_coreg3_small,AD-BTA,0.09595364410197363,0.0001171179284457874,316669952,10,ok,15,29.7272957090172,3.8425073329272456e-05
gst_coreg3_small,AD-Loop,0.13948720000917092,0.0010076727011186942,1447034880,10,ok,15,71.89772844401887,3.641142971388097e-05
gst_coreg3_small,AD-Loop-Ckpt,0.15214740300434643,0.0019148316477647744,1572864000,10,ok,15,70.53288501501083,3.856699050196395e-05
gst_coreg3_small,FD,2.958093807299156,0.004153633125707042,0,10,ok,15,-1,-1
gst_coreg3_small,AD-Dense,0.38861914968583733,0.000510220447948448,3590127616,10,ok,15,48.92760155297583,3.682647027275543e-05
gst_coreg2_small,AD-BTA,0.08116409248905257,0.00015030223837857423,195035136,10,ok,9,12.581336884002667,7.689939370079376e-07
gst_coreg2_small,AD-Loop,0.13262973962118849,0.0022718394902497352,988676096,10,ok,9,46.18495577399153,7.678760394633655e-07
gst_coreg2_small,AD-Loop-Ckpt,0.14196769530535674,0.0007522003568398587,1082130432,10,ok,9,46.377450620988384,7.679672471467161e-07
gst_coreg2_small,FD,1.3542899485153612,0.016276055893225366,0,10,ok,9,-1,-1
gst_coreg2_small,AD-Dense,0.2894363828003407,0.001028819723586811,3069771776,10,ok,9,38.891553689027205,7.701867604801262e-07
gst_small,AD-BTA,0.006619592494098469,0.00011318512933829765,4194304,10,ok,4,4.316560290986672,1.1748034548489165e-06
gst_small,AD-Loop,0.008359646087046712,0.00032489500841017974,8388608,10,ok,4,9.182674737006892,1.1748032202500287e-06
gst_small,AD-Loop-Ckpt,0.009377249103272334,0.00026063240486180495,6291456,10,ok,4,9.005549230030738,1.1747922870987863e-06
gst_small,FD,0.3265285898989532,0.0018995937041683746,0,10,ok,4,-1,-1
gst_small,AD-Dense,0.00437927579623647,3.540745949013696e-05,54525952,10,ok,4,2.9105162500054576,1.1748009475361173e-06
